id,event,severity,areaDesc,sent,effective,expires,status,messageType,category,urgency,certainty,SAME_codes,UGC_codes,coordinates
AS-TN-8637812c-2068-461f-87d1-a8106c2e00b4,Local Area Emergency Warning,Extreme,Southern End of County,2024-10-14T07:06:09-06:00,2024-10-14T07:06:09-06:00,2024-10-14T12:06:09-06:00,Actual,Alert,Safety,Immediate,Observed,047179,,"[[-82.1825999, 36.306], [-82.2002, 36.2741], [-82.7286, 36.052299999999995], [-82.7924, 36.29709999999999], [-82.1825999, 36.306]]"
OnSolve-32aef2bf46124ed4a79fa60ee86788ea,Evacuation Immediate,Severe,WY Sheridan County Emergency Management,2024-10-14T09:00:45-04:00,2024-10-14T09:00:45-04:00,2024-10-14T15:00:45-04:00,Actual,Alert,Fire,Immediate,Observed,056033,,"[[-107.1504, 44.6028], [-107.153, 44.6191], [-107.0942, 44.6191], [-107.0946, 44.6315], [-107.1148, 44.6313], [-107.1138, 44.645700000000005], [-107.08749999999999, 44.6634], [-107.07019999999999, 44.6464], [-107.05339999999998, 44.6415], [-107.05819999999999, 44.621], [-107.06209999999999, 44.6027], [-107.1504, 44.6028]]"
urn:oid:2.49.0.1.840.0.6b811a07de55356a10c361645b979ff8d7232409.001.1,Flood Warning,Severe,"Long, GA; Wayne, GA",2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-15T08:30:00-04:00,Actual,Update,Met,Immediate,Observed,"013183,013305","GAC183,GAC305","[[-81.95, 31.83], [-81.62, 31.549999999999997], [-81.72, 31.519999999999996], [-81.99, 31.759999999999994], [-81.95, 31.83]]"
urn:oid:2.49.0.1.840.0.e008a67e08346f1295ae530a5c4698ecf3a5e6c3.001.1,Flood Warning,Severe,"Brantley, GA",2024-10-14T08:22:00-04:00,2024-10-14T08:22:00-04:00,2024-10-15T08:30:00-04:00,Actual,Update,Met,Immediate,Observed,013025,GAC025,"[[-81.84, 31.29], [-81.83, 31.14], [-81.89999999999999, 31.14], [-81.91, 31.28], [-81.84, 31.29]]"
urn:oid:2.49.0.1.840.0.9dd78e2e7b5a0b5e6d3a0b56123f174979492717.001.1,Flood Warning,Severe,"Seminole, FL",2024-10-13T22:46:00-04:00,2024-10-13T22:46:00-04:00,2024-10-14T11:15:00-04:00,Actual,Update,Met,Immediate,Observed,012117,FLC117,"[[-81.4, 28.71], [-81.38000000000001, 28.71], [-81.39000000000001, 28.67], [-81.39000000000001, 28.650000000000002], [-81.41000000000001, 28.650000000000002], [-81.42000000000002, 28.67], [-81.4, 28.71]]"
urn:oid:2.49.0.1.840.0.116c678dbeb0fa14ba2515e77f6bda1bf6161a80.001.1,Flood Warning,Severe,"Seminole, FL",2024-10-13T22:20:00-04:00,2024-10-13T22:20:00-04:00,2024-10-14T11:15:00-04:00,Actual,Update,Met,Immediate,Observed,012117,FLC117,"[[-81.23, 28.7], [-81.17, 28.79], [-81, 28.73], [-80.9, 28.54], [-81.23, 28.7]]"
urn:oid:2.49.0.1.840.0.9d76c5128b716436b777c816a393da42f01275b7.001.1,Flood Warning,Severe,"Seminole, FL",2024-10-13T22:09:00-04:00,2024-10-13T22:09:00-04:00,2024-10-14T11:00:00-04:00,Actual,Update,Met,Immediate,Observed,012117,FLC117,"[[-81.23, 28.7], [-81.39, 28.9], [-81.31, 28.93], [-81.17, 28.79], [-81.23, 28.7]]"
urn:oid:2.49.0.1.840.0.e6c03d47164a50eedae6cb478a230acc82984290.001.1,Flood Warning,Severe,"Lake, FL; Volusia, FL",2024-10-13T22:05:00-04:00,2024-10-13T22:05:00-04:00,2024-10-14T11:15:00-04:00,Actual,Update,Met,Immediate,Observed,"012069,012127","FLC069,FLC127","[[-81.39, 28.9], [-81.5, 29.08], [-81.42, 29.099999999999998], [-81.31, 28.929999999999996], [-81.39, 28.9]]"
urn:oid:2.49.0.1.840.0.87ea63ab1e3fc954ec6030fd81058cefd56ff824.001.1,Flood Warning,Severe,"Lake, FL; Volusia, FL",2024-10-13T21:55:00-04:00,2024-10-13T21:55:00-04:00,2024-10-14T11:00:00-04:00,Actual,Update,Met,Immediate,Observed,"012069,012127","FLC069,FLC127","[[-81.5, 29.08], [-81.69, 29.319999999999997], [-81.5699999, 29.349999999999998], [-81.42, 29.099999999999998], [-81.5, 29.08]]"
urn:oid:2.49.0.1.840.0.4f9061394b7f6b513997a20552769ed9118e3e6b.002.1,Flood Warning,Severe,"Hillsborough, FL",2024-10-13T21:45:00-04:00,2024-10-13T21:45:00-04:00,2024-10-14T12:00:00-04:00,Actual,Update,Met,Immediate,Observed,012057,FLC057,"[[-82.15, 28.12], [-82.24000000000001, 28.12], [-82.28000000000002, 28.060000000000002], [-82.30000000000001, 28.110000000000003], [-82.25000000000001, 28.17], [-82.15000000000002, 28.17], [-82.15, 28.12]]"
urn:oid:2.49.0.1.840.0.4f9061394b7f6b513997a20552769ed9118e3e6b.001.1,Flood Warning,Severe,"Pasco, FL",2024-10-13T21:45:00-04:00,2024-10-13T21:45:00-04:00,2024-10-14T12:00:00-04:00,Actual,Update,Met,Immediate,Observed,012101,FLC101,"[[-82.63, 28.2], [-82.7099999, 28.189999999999998], [-82.7099999, 28.169999999999998], [-82.75, 28.169999999999998], [-82.72, 28.229999999999997], [-82.63, 28.24], [-82.63, 28.2]]"
urn:oid:2.49.0.1.840.0.4f9061394b7f6b513997a20552769ed9118e3e6b.013.1,Flood Warning,Severe,"Hillsborough, FL",2024-10-13T21:45:00-04:00,2024-10-13T21:45:00-04:00,2024-10-14T12:00:00-04:00,Actual,Update,Met,Immediate,Observed,012057,FLC057,"[[-82.31, 27.63], [-82.43, 27.64], [-82.43, 27.7], [-82.31, 27.7], [-82.31, 27.63]]"
