id,event,headline,areaDesc,severity,certainty,urgency,onset,expires,UGC
urn:oid:2.49.0.1.840.0.5fa8d7338b5bdc87e9af81830b116d1b8ee4d6b2.001.1,Wind Advisory,Wind Advisory issued October 19 at 5:37AM PDT until October 19 at 6:00AM PDT by NWS San Diego CA,San Bernardino and Riverside County Valleys-The Inland Empire; San Bernardino County Mountains; Santa Ana Mountains and Foothills; Orange County Inland,Moderate,Likely,Expected,2024-10-19 12:37:00+00:00,2024-10-19 13:45:00+00:00,"['CAZ048', 'CAZ055', 'CAZ057', 'CAZ554']"
urn:oid:2.49.0.1.840.0-KEEPALIVE-15289,Test Message,,Montgomery,Unknown,Unknown,Unknown,,2024-10-19 12:45:07+00:00,['MDC031']
urn:oid:2.49.0.1.840.0.87054af1f6b154ebabe616d13e3af4a24aa13f2d.001.1,Small Craft Advisory,Small Craft Advisory issued October 19 at 8:34AM EDT until October 20 at 8:00AM EDT by NWS Marquette MI,Seul Choix Point to Point Detour MI; 5NM East of a line from Fairport MI to Rock Island Passage,Minor,Likely,Expected,2024-10-19 18:00:00+00:00,2024-10-19 21:00:00+00:00,"['LMZ248', 'LMZ250']"
urn:oid:2.49.0.1.840.0.a6d808bda1dad36da5b3944cfb5eb98ac222fffb.001.1,Coastal Flood Advisory,Coastal Flood Advisory issued October 19 at 7:31AM CDT until October 20 at 4:00AM CDT by NWS Lake Charles LA,West Cameron; East Cameron; Lower Vermilion; Lower Jefferson,Minor,Likely,Expected,2024-10-19 21:00:00+00:00,2024-10-19 21:00:00+00:00,"['LAZ073', 'LAZ074', 'LAZ252', 'TXZ615']"
urn:oid:2.49.0.1.840.0.b1d7bdaf5066e240ff7451f80f07b386713c47e3.003.2,Small Craft Advisory,Small Craft Advisory issued October 19 at 5:14AM PDT until October 20 at 2:00PM PDT by NWS Portland OR,Coastal waters from Cape Falcon to Cape Foulweather OR out 10 nm; Waters from Cape Falcon to Cape Foulweather OR from 10 to 60 nm,Minor,Likely,Expected,2024-10-20 15:00:00+00:00,2024-10-20 04:15:00+00:00,"['PZZ252', 'PZZ272']"
urn:oid:2.49.0.1.840.0.b1d7bdaf5066e240ff7451f80f07b386713c47e3.002.2,Small Craft Advisory,Small Craft Advisory issued October 19 at 5:14AM PDT until October 20 at 2:00PM PDT by NWS Portland OR,Coastal waters from Cape Foulweather to Florence OR out 10 nm; Waters from Cape Foulweather to Florence OR from 10 to 60 nm,Minor,Likely,Expected,2024-10-20 15:00:00+00:00,2024-10-20 04:15:00+00:00,"['PZZ253', 'PZZ273']"
urn:oid:2.49.0.1.840.0.b1d7bdaf5066e240ff7451f80f07b386713c47e3.004.1,Small Craft Advisory,Small Craft Advisory issued October 19 at 5:14AM PDT until October 20 at 2:00PM PDT by NWS Portland OR,Waters from Cape Shoalwater WA to Cape Falcon OR from 10 to 60 nm,Minor,Likely,Expected,2024-10-19 12:14:00+00:00,2024-10-20 04:15:00+00:00,['PZZ271']
urn:oid:2.49.0.1.840.0.b1d7bdaf5066e240ff7451f80f07b386713c47e3.003.1,Small Craft Advisory,Small Craft Advisory issued October 19 at 5:14AM PDT until October 19 at 8:00PM PDT by NWS Portland OR,Coastal waters from Cape Falcon to Cape Foulweather OR out 10 nm; Waters from Cape Falcon to Cape Foulweather OR from 10 to 60 nm,Minor,Likely,Expected,2024-10-19 12:14:00+00:00,2024-10-20 04:15:00+00:00,"['PZZ252', 'PZZ272']"
urn:oid:2.49.0.1.840.0.b1d7bdaf5066e240ff7451f80f07b386713c47e3.001.2,Small Craft Advisory,Small Craft Advisory issued October 19 at 5:14AM PDT until October 20 at 2:00PM PDT by NWS Portland OR,Columbia River Bar; Coastal waters from Cape Shoalwater WA to Cape Falcon OR out 10 nm,Minor,Likely,Expected,2024-10-19 12:14:00+00:00,2024-10-20 04:15:00+00:00,"['PZZ210', 'PZZ251']"
urn:oid:2.49.0.1.840.0.25a52d69620020656eff0d6fd8aadff471bd365b.001.1,Hydrologic Outlook,Hydrologic Outlook issued October 19 at 5:12AM PDT by NWS Seattle WA,"Clallam, WA; Jefferson, WA; Skagit, WA; Whatcom, WA",Unknown,Possible,Future,2024-10-19 12:12:00+00:00,2024-10-19 23:15:00+00:00,"['WAC009', 'WAC031', 'WAC057', 'WAC073']"
urn:oid:2.49.0.1.840.0.87327d2c1da9110215d895470fa9c4a4b770d217.024.1,Gale Warning,Gale Warning issued October 19 at 4:06AM AKDT until October 20 at 5:00PM AKDT by NWS Anchorage AK,Seguam to Adak Pacific Side from 15 to 75 NM,Moderate,Likely,Expected,2024-10-20 13:00:00+00:00,2024-10-20 00:45:00+00:00,['PKZ783']
urn:oid:2.49.0.1.840.0.87327d2c1da9110215d895470fa9c4a4b770d217.034.1,Gale Warning,Gale Warning issued October 19 at 4:06AM AKDT until October 20 at 5:00PM AKDT by NWS Anchorage AK,Kuskokwim Delta from 15 to 80 NM,Moderate,Likely,Expected,2024-10-20 13:00:00+00:00,2024-10-20 00:45:00+00:00,['PKZ764']
urn:oid:2.49.0.1.840.0.87327d2c1da9110215d895470fa9c4a4b770d217.027.1,Gale Warning,Gale Warning issued October 19 at 4:06AM AKDT until October 20 at 5:00PM AKDT by NWS Anchorage AK,Kiska to Attu Bering Side,Moderate,Likely,Expected,2024-10-19 12:00:00+00:00,2024-10-20 00:45:00+00:00,['PKZ786']
urn:oid:2.49.0.1.840.0.87327d2c1da9110215d895470fa9c4a4b770d217.025.1,Gale Warning,Gale Warning issued October 19 at 4:06AM AKDT until October 20 at 5:00PM AKDT by NWS Anchorage AK,Adak to Kiska Bering Side,Moderate,Likely,Expected,2024-10-20 01:00:00+00:00,2024-10-20 00:45:00+00:00,['PKZ784']
