id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline
urn:oid:2.49.0.1.840.0.758ccf8579df49b94ae8fadc41c00e8597d4207e.001.1,St Joseph to South Haven MI; South Haven to Holland MI; Holland to Grand Haven MI; Grand Haven to Whitehall MI; Whitehall to Pentwater MI; Pentwater to Manistee MI,"092844,092845,092846,092847,092848,092849","LMZ844,LMZ845,LMZ846,LMZ847,LMZ848,LMZ849","https://api.weather.gov/zones/forecast/LMZ844,https://api.weather.gov/zones/forecast/LMZ845,https://api.weather.gov/zones/forecast/LMZ846,https://api.weather.gov/zones/forecast/LMZ847,https://api.weather.gov/zones/forecast/LMZ848,https://api.weather.gov/zones/forecast/LMZ849",2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T16:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T07:00:00-04:00,Actual,Alert,Met,Moderate,Possible,Future,Gale Watch,Gale Watch issued October 12 at 2:22PM EDT until October 14 at 7:00AM EDT by NWS Grand Rapids MI
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.006.1,Coastal Waters from Cape Charles Light to Virginia-North Carolina border out to 20 nm; Coastal waters from NC VA border to Currituck Beach Light NC out 20 nm,"073656,073658","ANZ656,ANZ658","https://api.weather.gov/zones/forecast/ANZ656,https://api.weather.gov/zones/forecast/ANZ658",2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T16:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T22:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 14 at 10:00PM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.003.1,James River from James River Bridge to Hampton Roads Bridge-Tunnel,073638,ANZ638,https://api.weather.gov/zones/forecast/ANZ638,2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T16:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T22:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 14 at 10:00PM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.001.1,Rappahannock River from Urbanna to Windmill Point; York River; James River from Jamestown to the James River Bridge,"073635,073636,073637","ANZ635,ANZ636,ANZ637","https://api.weather.gov/zones/forecast/ANZ635,https://api.weather.gov/zones/forecast/ANZ636,https://api.weather.gov/zones/forecast/ANZ637",2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T16:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T19:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 14 at 7:00PM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.004.1,Currituck Sound,073633,ANZ633,https://api.weather.gov/zones/forecast/ANZ633,2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T19:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T19:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 14 at 7:00PM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.002.1,Chesapeake Bay from Smith Point to Windmill Point VA; Chesapeake Bay from Windmill Point to New Point Comfort VA; Chesapeake Bay from New Point Comfort to Little Creek VA; Chesapeake Bay from Little Creek VA to Cape Henry VA including the Chesapeake Bay Bridge Tunnel,"073630,073631,073632,073634","ANZ630,ANZ631,ANZ632,ANZ634","https://api.weather.gov/zones/forecast/ANZ630,https://api.weather.gov/zones/forecast/ANZ631,https://api.weather.gov/zones/forecast/ANZ632,https://api.weather.gov/zones/forecast/ANZ634",2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T13:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-14T22:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 14 at 10:00PM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.36ba73249414ec40d3a7c9c556453dd87932e8fe.005.1,Coastal waters from Fenwick Island DE to Chincoteague VA out 20 nm; Coastal waters from Chincoteague to Parramore Island VA out 20 nm; Coastal waters from Parramore Island to Cape Charles Light VA out 20 nm,"073650,073652,073654","ANZ650,ANZ652,ANZ654","https://api.weather.gov/zones/forecast/ANZ650,https://api.weather.gov/zones/forecast/ANZ652,https://api.weather.gov/zones/forecast/ANZ654",2024-10-12T14:22:00-04:00,2024-10-12T14:22:00-04:00,2024-10-13T13:00:00-04:00,2024-10-12T22:30:00-04:00,2024-10-15T01:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:22PM EDT until October 15 at 1:00AM EDT by NWS Wakefield VA
urn:oid:2.49.0.1.840.0.8751016d1a4554d10ddcd44c05e48fb9d4861456.005.1,Alligator River; Albemarle Sound; Croatan and Roanoke Sounds,"075131,075230,075231","AMZ131,AMZ230,AMZ231","https://api.weather.gov/zones/forecast/AMZ131,https://api.weather.gov/zones/forecast/AMZ230,https://api.weather.gov/zones/forecast/AMZ231",2024-10-12T14:14:00-04:00,2024-10-12T14:14:00-04:00,2024-10-13T20:00:00-04:00,2024-10-13T02:15:00-04:00,2024-10-14T20:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:14PM EDT until October 14 at 8:00PM EDT by NWS Newport/Morehead City NC
urn:oid:2.49.0.1.840.0.8751016d1a4554d10ddcd44c05e48fb9d4861456.001.1,S of Currituck Beach Light NC to Oregon Inlet NC out to 20 nm,075150,AMZ150,https://api.weather.gov/zones/forecast/AMZ150,2024-10-12T14:14:00-04:00,2024-10-12T14:14:00-04:00,2024-10-13T17:00:00-04:00,2024-10-13T02:15:00-04:00,2024-10-14T23:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:14PM EDT until October 14 at 11:00PM EDT by NWS Newport/Morehead City NC
urn:oid:2.49.0.1.840.0.8751016d1a4554d10ddcd44c05e48fb9d4861456.004.1,Pamlico Sound,075135,AMZ135,https://api.weather.gov/zones/forecast/AMZ135,2024-10-12T14:14:00-04:00,2024-10-12T14:14:00-04:00,2024-10-13T17:00:00-04:00,2024-10-13T02:15:00-04:00,2024-10-14T23:00:00-04:00,Actual,Alert,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 12 at 2:14PM EDT until October 14 at 11:00PM EDT by NWS Newport/Morehead City NC
