id,areaDesc,SAME_codes,UGC_codes,affectedZones,sent,effective,onset,expires,ends,status,messageType,category,severity,certainty,urgency,event,headline,coordinates
urn:oid:2.49.0.1.840.0-KEEPALIVE-32687,Montgomery,024031,MDC031,https://api.weather.gov/zones/county/MDC031,2024-10-17T13:15:07+00:00,2024-10-17T13:15:07+00:00,,2024-10-17T13:25:07+00:00,,Test,Alert,Met,Unknown,Unknown,Unknown,Test Message,,[]
urn:oid:2.49.0.1.840.0.0abe24915cfdd606d3cf525b9f33f0f1b0d70931.002.1,Maalaea Bay; Pailolo Channel; Alenuihaha Channel; Big Island Leeward Waters; Big Island Southeast Waters,"059119,059120,059121,059123,059124","PHZ119,PHZ120,PHZ121,PHZ123,PHZ124","https://api.weather.gov/zones/forecast/PHZ119,https://api.weather.gov/zones/forecast/PHZ120,https://api.weather.gov/zones/forecast/PHZ121,https://api.weather.gov/zones/forecast/PHZ123,https://api.weather.gov/zones/forecast/PHZ124",2024-10-17T03:00:00-10:00,2024-10-17T03:00:00-10:00,2024-10-17T03:00:00-10:00,2024-10-17T16:00:00-10:00,2024-10-17T18:00:00-10:00,Actual,Update,Met,Minor,Likely,Expected,Small Craft Advisory,Small Craft Advisory issued October 17 at 3:00AM HST until October 17 at 6:00PM HST by NWS Honolulu HI,[]
urn:oid:2.49.0.1.840.0.38f22ae4a0582c8c2b83131f6a7f1a611abc19b6.001.1,Coastal Colleton; Charleston,"045029,045019","SCZ049,SCZ050","https://api.weather.gov/zones/forecast/SCZ049,https://api.weather.gov/zones/forecast/SCZ050",2024-10-17T08:57:00-04:00,2024-10-17T08:57:00-04:00,2024-10-17T08:57:00-04:00,2024-10-17T10:00:00-04:00,2024-10-17T10:00:00-04:00,Actual,Update,Met,Minor,Likely,Expected,Coastal Flood Advisory,Coastal Flood Advisory issued October 17 at 8:57AM EDT until October 17 at 10:00AM EDT by NWS Charleston SC,[]
urn:oid:2.49.0.1.840.0.7b7b04ac9f2831d228d01ef138098574031c4b35.001.1,South Slopes Of The Eastern Brooks Range; South Slopes Of The Central Brooks Range; Upper Koyukuk Valley; Dalton Highway Summits; Yukon Flats; White Mountains and High Terrain South of the Yukon River; Fortymile Country; Upper Tanana Valley; Delta Junction; Upper Chena River Valley; Tanana Flats; Eielson AFB and Salcha; Goldstream Valley and Nenana Hills; Chatanika River Valley; Two Rivers; Fairbanks Metro Area; Nenana; Central Interior; Northern Denali Borough; Southern Denali Borough; Eastern Alaska Range North of Trims Camp; Eastern Alaska Range South of Trims Camp,"002290,002240,002090,002068","AKZ811,AKZ812,AKZ831,AKZ832,AKZ833,AKZ834,AKZ835,AKZ836,AKZ837,AKZ838,AKZ839,AKZ840,AKZ841,AKZ842,AKZ843,AKZ844,AKZ845,AKZ846,AKZ847,AKZ848,AKZ849,AKZ850","https://api.weather.gov/zones/forecast/AKZ811,https://api.weather.gov/zones/forecast/AKZ812,https://api.weather.gov/zones/forecast/AKZ831,https://api.weather.gov/zones/forecast/AKZ832,https://api.weather.gov/zones/forecast/AKZ833,https://api.weather.gov/zones/forecast/AKZ834,https://api.weather.gov/zones/forecast/AKZ835,https://api.weather.gov/zones/forecast/AKZ836,https://api.weather.gov/zones/forecast/AKZ837,https://api.weather.gov/zones/forecast/AKZ838,https://api.weather.gov/zones/forecast/AKZ839,https://api.weather.gov/zones/forecast/AKZ840,https://api.weather.gov/zones/forecast/AKZ841,https://api.weather.gov/zones/forecast/AKZ842,https://api.weather.gov/zones/forecast/AKZ843,https://api.weather.gov/zones/forecast/AKZ844,https://api.weather.gov/zones/forecast/AKZ845,https://api.weather.gov/zones/forecast/AKZ846,https://api.weather.gov/zones/forecast/AKZ847,https://api.weather.gov/zones/forecast/AKZ848,https://api.weather.gov/zones/forecast/AKZ849,https://api.weather.gov/zones/forecast/AKZ850",2024-10-17T04:55:00-08:00,2024-10-17T04:55:00-08:00,2024-10-17T04:55:00-08:00,2024-10-17T16:00:00-08:00,,Actual,Alert,Met,Moderate,Observed,Expected,Special Weather Statement,Special Weather Statement issued October 17 at 4:55AM AKDT by NWS Fairbanks AK,[]
urn:oid:2.49.0.1.840.0.90b51521eab477e1cd80f7f315cf4e3d6731430a.001.1,South Slopes of the Western Brooks Range; Noatak Valley; Kivalina and Red Dog Dock; Lower Kobuk Valley; Baldwin Peninsula; Northern Seward Peninsula; Upper Kobuk Valleys; Shishmaref; Bering Strait Coast; Southern Seward Peninsula Coast; Interior Seward Peninsula; Eastern Norton Sound and Nulato Hills; Yukon Delta Coast; Lower Yukon River; St Lawrence Island; Lower Koyukuk Valley; Middle Yukon Valley; Lower Yukon and Innoko Valleys; North Slopes of the Western Alaska Range; Upper Kuskokwim Valley,"002188,002180,002158,002290","AKZ813,AKZ814,AKZ815,AKZ816,AKZ817,AKZ818,AKZ819,AKZ820,AKZ821,AKZ822,AKZ823,AKZ824,AKZ825,AKZ826,AKZ827,AKZ828,AKZ829,AKZ830,AKZ851,AKZ852","https://api.weather.gov/zones/forecast/AKZ813,https://api.weather.gov/zones/forecast/AKZ814,https://api.weather.gov/zones/forecast/AKZ815,https://api.weather.gov/zones/forecast/AKZ816,https://api.weather.gov/zones/forecast/AKZ817,https://api.weather.gov/zones/forecast/AKZ818,https://api.weather.gov/zones/forecast/AKZ819,https://api.weather.gov/zones/forecast/AKZ820,https://api.weather.gov/zones/forecast/AKZ821,https://api.weather.gov/zones/forecast/AKZ822,https://api.weather.gov/zones/forecast/AKZ823,https://api.weather.gov/zones/forecast/AKZ824,https://api.weather.gov/zones/forecast/AKZ825,https://api.weather.gov/zones/forecast/AKZ826,https://api.weather.gov/zones/forecast/AKZ827,https://api.weather.gov/zones/forecast/AKZ828,https://api.weather.gov/zones/forecast/AKZ829,https://api.weather.gov/zones/forecast/AKZ830,https://api.weather.gov/zones/forecast/AKZ851,https://api.weather.gov/zones/forecast/AKZ852",2024-10-17T04:30:00-08:00,2024-10-17T04:30:00-08:00,2024-10-17T04:30:00-08:00,2024-10-17T16:00:00-08:00,,Actual,Alert,Met,Moderate,Observed,Expected,Special Weather Statement,Special Weather Statement issued October 17 at 4:30AM AKDT by NWS Fairbanks AK,[]
urn:oid:2.49.0.1.840.0.98ea7b204710b6f72684074ac23f0d9c9d5939a8.001.1,Western Arctic Coast,002185,AKZ801,https://api.weather.gov/zones/forecast/AKZ801,2024-10-17T04:21:00-08:00,2024-10-17T04:21:00-08:00,2024-10-20T13:00:00-08:00,2024-10-17T18:00:00-08:00,2024-10-21T04:00:00-08:00,Actual,Update,Met,Severe,Possible,Future,High Wind Watch,High Wind Watch issued October 17 at 4:21AM AKDT until October 21 at 4:00AM AKDT by NWS Fairbanks AK,[]
urn:oid:2.49.0.1.840.0.639ca48aa47a80b9e2281aa10c6d83b9a3f0535b.001.1,Kivalina and Red Dog Dock,002188,AKZ815,https://api.weather.gov/zones/forecast/AKZ815,2024-10-17T04:21:00-08:00,2024-10-17T04:21:00-08:00,2024-10-20T13:00:00-08:00,2024-10-17T18:00:00-08:00,2024-10-21T01:00:00-08:00,Actual,Update,Met,Severe,Possible,Future,High Wind Watch,High Wind Watch issued October 17 at 4:21AM AKDT until October 21 at 1:00AM AKDT by NWS Fairbanks AK,[]
urn:oid:2.49.0.1.840.0.830ab7f21ea10fab1067274d4f4ec47365bbb6b6.002.1,San Bernardino and Riverside County Valleys-The Inland Empire; San Bernardino County Mountains; Santa Ana Mountains and Foothills; Orange County Inland,"006065,006071,006059,006073","CAZ048,CAZ055,CAZ057,CAZ554","https://api.weather.gov/zones/forecast/CAZ048,https://api.weather.gov/zones/forecast/CAZ055,https://api.weather.gov/zones/forecast/CAZ057,https://api.weather.gov/zones/forecast/CAZ554",2024-10-17T05:18:00-07:00,2024-10-17T05:18:00-07:00,2024-10-18T10:00:00-07:00,2024-10-17T15:30:00-07:00,2024-10-19T06:00:00-07:00,Actual,Alert,Met,Moderate,Likely,Expected,Wind Advisory,Wind Advisory issued October 17 at 5:18AM PDT until October 19 at 6:00AM PDT by NWS San Diego CA,[]
urn:oid:2.49.0.1.840.0.830ab7f21ea10fab1067274d4f4ec47365bbb6b6.001.1,Coachella Valley; San Gorgonio Pass Near Banning,006065,"CAZ061,CAZ065","https://api.weather.gov/zones/forecast/CAZ061,https://api.weather.gov/zones/forecast/CAZ065",2024-10-17T05:18:00-07:00,2024-10-17T05:18:00-07:00,2024-10-18T04:00:00-07:00,2024-10-17T15:30:00-07:00,2024-10-18T12:00:00-07:00,Actual,Alert,Met,Moderate,Likely,Expected,Wind Advisory,Wind Advisory issued October 17 at 5:18AM PDT until October 18 at 12:00PM PDT by NWS San Diego CA,[]
urn:oid:2.49.0.1.840.0.f116dddc539dcf50bd3b88b505a828d43cc59298.001.1,East Bay Interior Valleys; Eastern Santa Clara Hills; East Bay Hills,"006001,006013,006085","CAZ510,CAZ514,CAZ515","https://api.weather.gov/zones/forecast/CAZ510,https://api.weather.gov/zones/forecast/CAZ514,https://api.weather.gov/zones/forecast/CAZ515",2024-10-17T05:01:00-07:00,2024-10-17T05:01:00-07:00,2024-10-17T23:00:00-07:00,2024-10-17T14:15:00-07:00,2024-10-18T23:00:00-07:00,Actual,Update,Met,Moderate,Likely,Expected,Wind Advisory,Wind Advisory issued October 17 at 5:01AM PDT until October 18 at 11:00PM PDT by NWS San Francisco CA,[]
